0,1,2,3,4,5,6,7,8,9,10,11
0.18959644,0.12620868,0.19997126,0.18330331,0.21045722,0.1426424,0.13048062,0.18855047,0.21332043,0.0,0.0,0.15411192
0.19449507,0.24199267,0.23449542,0.17065045,0.0,0.22017528,0.15373573,0.14883365,0.14602847,0.18069577,0.23891777,0.22040255
0.17093442,0.2034333,0.16471666,0.26338366,0.18919368,0.15669626,0.1042646,0.23868226,0.15514559,0.16194192,0.14881228,0.19413258
0.13381837,0.2654111,0.20739363,0.16246717,0.17624624,0.16684757,0.23781778,0.17125657,0.14286126,0.21845351,0.18690173,0.1393134
0.17660218,0.13034081,0.15691406,0.0,0.17223494,0.15019307,0.19629858,0.1449557,0.19509882,0.15375926,0.0,0.20414138
0.19073528,0.0,0.24309671,0.16123943,0.19601817,0.3223182,0.28484,0.26985803,0.18386686,0.2539624,0.1845515,0.15362892
0.2033518,0.09692786,0.17161609,0.1860726,0.17558736,0.11956792,0.16493852,0.13508743,0.23945434,0.15468888,0.18012564,0.18713707
0.25014928,0.13870743,0.1684195,0.18966888,0.0,0.15445437,0.12364539,0.1805123,0.0,0.1969532,0.21105674,0.22395559
0.15645432,0.23270974,0.1636712,0.18762934,0.20867822,0.19773014,0.10357094,0.20944121,0.16667429,0.13329385,0.14988005,0.20293485
0.2252959,0.1751397,0.22705905,0.16124149,0.16483776,0.19574067,0.18836693,0.23989327,0.13882834,0.2948945,0.20921329,0.2518845
0.15281163,0.23137012,0.0,0.13199046,0.1855792,0.19795543,0.15725526,0.09979766,0.24088846,0.20596689,0.19742598,0.10922106
